Sample in Buffer,Sample in Window,TRIGGER,dbg_sample[31:0],dbg_expected[31:0],dbg_pred[31:0],dbg_cycles[31:0],dbg_correct[31:0],dbg_pulse,custom_funct3[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
151,151,0,167,0,0,655,168,0,7
152,152,0,167,0,0,655,168,0,2
153,153,0,167,0,0,655,168,0,2
154,154,0,167,0,0,655,168,0,2
155,155,0,167,0,0,655,168,0,2
156,156,0,167,0,0,655,168,0,7
157,157,0,167,0,0,655,168,0,7
158,158,0,167,0,0,655,168,0,7
159,159,0,167,0,0,655,168,0,2
160,160,0,167,0,0,655,168,0,2
161,161,0,167,0,0,655,168,0,2
162,162,0,167,0,0,655,168,0,2
163,163,0,167,0,0,655,168,0,0
164,164,0,167,0,0,655,168,0,0
165,165,0,167,0,0,655,168,0,0
166,166,0,167,0,0,655,168,0,2
167,167,0,167,0,0,655,168,0,2
168,168,0,167,0,0,655,168,0,2
169,169,0,167,0,0,655,168,0,7
170,170,0,167,0,0,655,168,0,7
171,171,0,167,0,0,655,168,0,7
172,172,0,167,0,0,655,168,0,2
173,173,0,167,0,0,655,168,0,2
174,174,0,167,0,0,655,168,0,2
175,175,0,167,0,0,655,168,0,2
176,176,0,167,0,0,655,168,0,7
177,177,0,167,0,0,655,168,0,7
178,178,0,167,0,0,655,168,0,7
179,179,0,167,0,0,655,168,0,2
180,180,0,167,0,0,655,168,0,2
181,181,0,167,0,0,655,168,0,2
182,182,0,167,0,0,655,168,0,2
183,183,0,167,0,0,655,168,0,0
184,184,0,167,0,0,655,168,0,0
185,185,0,167,0,0,655,168,0,0
186,186,0,167,0,0,655,168,0,2
187,187,0,167,0,0,655,168,0,2
188,188,0,167,0,0,655,168,0,2
189,189,0,167,0,0,655,168,0,7
190,190,0,167,0,0,655,168,0,7
191,191,0,167,0,0,655,168,0,7
192,192,0,167,0,0,655,168,0,2
193,193,0,167,0,0,655,168,0,2
194,194,0,167,0,0,655,168,0,2
195,195,0,167,0,0,655,168,0,2
196,196,0,167,0,0,655,168,0,7
197,197,0,167,0,0,655,168,0,7
198,198,0,167,0,0,655,168,0,7
199,199,0,167,0,0,655,168,0,2
200,200,0,167,0,0,655,168,0,2
201,201,0,167,0,0,655,168,0,2
202,202,0,167,0,0,655,168,0,2
203,203,0,167,0,0,655,168,0,0
204,204,0,167,0,0,655,168,0,0
205,205,0,167,0,0,655,168,0,0
206,206,0,167,0,0,655,168,0,2
207,207,0,167,0,0,655,168,0,2
208,208,0,167,0,0,655,168,0,2
209,209,0,167,0,0,655,168,0,7
210,210,0,167,0,0,655,168,0,7
211,211,0,167,0,0,655,168,0,7
212,212,0,167,0,0,655,168,0,2
213,213,0,167,0,0,655,168,0,2
214,214,0,167,0,0,655,168,0,2
215,215,0,167,0,0,655,168,0,2
216,216,0,167,0,0,655,168,0,7
217,217,0,167,0,0,655,168,0,7
218,218,0,167,0,0,655,168,0,7
219,219,0,167,0,0,655,168,0,2
220,220,0,167,0,0,655,168,0,2
221,221,0,167,0,0,655,168,0,2
222,222,0,167,0,0,655,168,0,2
223,223,0,167,0,0,655,168,0,0
224,224,0,167,0,0,655,168,0,0
225,225,0,167,0,0,655,168,0,0
226,226,0,167,0,0,655,168,0,2
227,227,0,167,0,0,655,168,0,2
228,228,0,167,0,0,655,168,0,2
229,229,0,167,0,0,655,168,0,7
230,230,0,167,0,0,655,168,0,7
231,231,0,167,0,0,655,168,0,7
232,232,0,167,0,0,655,168,0,2
233,233,0,167,0,0,655,168,0,2
234,234,0,167,0,0,655,168,0,2
235,235,0,167,0,0,655,168,0,2
236,236,0,167,0,0,655,168,0,7
237,237,0,167,0,0,655,168,0,7
238,238,0,167,0,0,655,168,0,7
239,239,0,167,0,0,655,168,0,2
240,240,0,167,0,0,655,168,0,2
241,241,0,167,0,0,655,168,0,2
242,242,0,167,0,0,655,168,0,2
243,243,0,167,0,0,655,168,0,0
244,244,0,167,0,0,655,168,0,0
245,245,0,167,0,0,655,168,0,0
246,246,0,167,0,0,655,168,0,2
247,247,0,167,0,0,655,168,0,2
248,248,0,167,0,0,655,168,0,2
249,249,0,167,0,0,655,168,0,7
250,250,0,167,0,0,655,168,0,7
251,251,0,167,0,0,655,168,0,7
252,252,0,167,0,0,655,168,0,2
253,253,0,167,0,0,655,168,0,2
254,254,0,167,0,0,655,168,0,2
255,255,0,167,0,0,655,168,0,2
256,256,0,167,0,0,655,168,0,7
257,257,0,167,0,0,655,168,0,7
258,258,0,167,0,0,655,168,0,7
259,259,0,167,0,0,655,168,0,2
260,260,0,167,0,0,655,168,0,2
261,261,0,167,0,0,655,168,0,2
262,262,0,167,0,0,655,168,0,2
